titre,annee,realisateur,note_presse,note_spectateurs,url
Napoléon vu par Abel Gance partie 2,2024,Abel Gance,,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=1000004406.html
Ip Man,2008,Wilson Yip,,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=146717.html
La Ruée vers l'or,1925,Charles Chaplin,5.0,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=2260.html
La Trilogie Marseillaise de Marcel Pagnol : César,1936,Marcel Pagnol,,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=11726.html
Full Metal Jacket,1987,Stanley Kubrick,4.8,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=2749.html
Elephant Man,1981,David Lynch,4.8,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=180.html
Barry Lyndon,1976,Stanley Kubrick,5.0,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=135.html
Matrix,1999,"Lana Wachowski, Lilly Wachowski",3.4,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=19776.html
Le Trou,1960,Jacques Becker,,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=1101.html
Spider-Man : New Generation,2018,"Bob Persichetti, Peter Ramsey, Rodney Rothman",4.2,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=233998.html
Shutter Island,2010,Martin Scorsese,3.8,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=132039.html
Il faut sauver le soldat Ryan,1998,Steven Spielberg,3.0,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=18598.html
Les Sentiers de la gloire,1975,Stanley Kubrick,4.6,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=4499.html
Je verrai toujours vos visages,2023,Jeanne Herry,4.1,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=299938.html
Le Pianiste,2002,Roman Polanski,4.1,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=28359.html
